drug,effect,cosine_similarities
"['prednisone', 'azathioprine']","['exocrine pancreatic insufficiency', 'diabetes']","[('prednisone', 'exocrine pancreatic insufficiency', np.float32(0.8712356)), ('prednisone', 'diabetes', np.float32(0.8458126)), ('azathioprine', 'exocrine pancreatic insufficiency', np.float32(0.95442814)), ('azathioprine', 'diabetes', np.float32(0.89599633))]"
['nitrous oxide'],['neurologic degeneration'],"[('nitrous oxide', 'neurologic degeneration', np.float32(0.94969004))]"
['methotrexate'],[],"[(None, None, None)]"
['propafenone'],['ataxia'],"[('propafenone', 'ataxia', np.float32(0.7843069))]"
['tbii'],[],"[(None, None, None)]"
"['docetaxel', 'gemcitabine']",['boop'],"[('docetaxel', 'boop', np.float32(0.9453699)), ('gemcitabine', 'boop', np.float32(0.9399611))]"
['zidovudine'],['fetal abnormality'],"[('zidovudine', 'fetal abnormality', np.float32(0.9908541))]"
['glipizide'],['symptomatic hypoglycemia'],"[('glipizide', 'symptomatic hypoglycemia', np.float32(0.86215496))]"
[],"['dress', 'acute kidney injury']","[(None, None, None)]"
['mtx'],"['ascites', 'arthritis']","[('mtx', 'ascites', np.float32(0.69861406)), ('mtx', 'arthritis', np.float32(0.67480457))]"
"['triamcinolone', 'ritonavir-lopinavir']",['iatrogenic cushing syndrome'],"[('triamcinolone', 'iatrogenic cushing syndrome', np.float32(0.86685884)), ('ritonavir-lopinavir', 'iatrogenic cushing syndrome', None)]"
[],['akathisia'],"[(None, None, None)]"
['ampicillin'],['ten'],"[('ampicillin', 'ten', np.float32(0.8965962))]"
"['lithium carbonate', 'amitriptyline']",['neuroleptic malignant syndrome'],"[('lithium carbonate', 'neuroleptic malignant syndrome', np.float32(0.82282823)), ('amitriptyline', 'neuroleptic malignant syndrome', np.float32(0.7976005))]"
['capecitabine'],[],"[(None, None, None)]"
['glibenclamide'],['intrahepatic cholestasis'],"[('glibenclamide', 'intrahepatic cholestasis', np.float32(0.92108315))]"
"['pyrimethamine', 'sulfadiazine']",[],"[(None, None, None)]"
['alemtuzumab'],['opportunistic infections'],"[('alemtuzumab', 'opportunistic infections', np.float32(0.9515236))]"
['vancomycin'],[],"[(None, None, None)]"
['propranolol'],[],"[(None, None, None)]"
"['ganciclovir', 'cyclosporin']",[],"[(None, None, None)]"
['vasopressin'],['ischemic skin complications'],"[('vasopressin', 'ischemic skin complications', np.float32(0.79067415))]"
['propofol'],['pancreatitis'],"[('propofol', 'pancreatitis', np.float32(0.84987456))]"
['diuretic-propranolol'],[],"[(None, None, None)]"
['diphenylhydantoin'],"['multiple myeloma', 'monoclonal gammopathy']","[('diphenylhydantoin', 'multiple myeloma', np.float32(0.9250938)), ('diphenylhydantoin', 'monoclonal gammopathy', np.float32(0.97078264))]"
"['clindamycin phosphate', 'clindamycin']",['cdic'],"[('clindamycin phosphate', 'cdic', np.float32(0.91423124)), ('clindamycin', 'cdic', np.float32(0.87785965))]"
['sodium phosphate enema'],['acute hyperphosphatemia'],"[('sodium phosphate enema', 'acute hyperphosphatemia', np.float32(0.7331618))]"
['anti-d igiv'],[],"[(None, None, None)]"
['danazol'],['purpura'],"[('danazol', 'purpura', np.float32(0.9714427))]"
['para-aminosalicylic acid'],['hypoglycaemic coma'],"[('para-aminosalicylic acid', 'hypoglycaemic coma', np.float32(0.6447847))]"
['hydroxyurea'],[],"[(None, None, None)]"
['troglitazone'],['hepatotoxicity'],"[('troglitazone', 'hepatotoxicity', np.float32(0.90277827))]"
['methicillin'],[],"[(None, None, None)]"
['cytosine arabinoside'],['toxic epidermal necrolysis'],"[('cytosine arabinoside', 'toxic epidermal necrolysis', np.float32(0.6062006))]"
['doxetaxel'],['glaucoma'],"[('doxetaxel', 'glaucoma', np.float32(0.96888125))]"
['cbdca'],[],"[(None, None, None)]"
[],['cdi'],"[(None, None, None)]"
"['doxorubicin', 'digoxin', 'ouabain']",['cardiomyopathy'],"[('doxorubicin', 'cardiomyopathy', np.float32(0.9314095)), ('digoxin', 'cardiomyopathy', np.float32(0.9163363)), ('ouabain', 'cardiomyopathy', np.float32(0.9153582))]"
[],"['fibrosis', 'pulmonary toxicity']","[(None, None, None)]"
['tmp-sx'],[],"[(None, None, None)]"
[],['severe myelosuppression'],"[(None, None, None)]"
['clonidine'],['bradycardia'],"[('clonidine', 'bradycardia', np.float32(0.9724554))]"
['dca'],[],"[(None, None, None)]"
['cyclosposphamide'],[],"[(None, None, None)]"
['clonazepam'],[],"[(None, None, None)]"
['enalapril'],['anemia'],"[('enalapril', 'anemia', np.float32(0.76621544))]"
['sertraline'],['lamotrigine toxicity'],"[('sertraline', 'lamotrigine toxicity', np.float32(0.7202564))]"
['sasp'],[],"[(None, None, None)]"
['phenytoin'],['basilar invagination'],"[('phenytoin', 'basilar invagination', np.float32(0.85449266))]"
['clozapine'],"['neutropenia', 'agranulocytosis']","[('clozapine', 'neutropenia', np.float32(0.6877089)), ('clozapine', 'agranulocytosis', np.float32(0.6313068))]"
['disulfiram'],['eosinophilia'],"[('disulfiram', 'eosinophilia', np.float32(0.6941815))]"
"['prednisolone', 'azathioprine']",['fatal cryptococcal meningitis'],"[('prednisolone', 'fatal cryptococcal meningitis', np.float32(0.8079293)), ('azathioprine', 'fatal cryptococcal meningitis', np.float32(0.85962164))]"
['sunitinib'],['acute interstitial nephritis'],"[('sunitinib', 'acute interstitial nephritis', np.float32(0.7218776))]"
['interferon alpha'],['optic neuritis'],"[('interferon alpha', 'optic neuritis', np.float32(0.65670574))]"
['glibenclamide'],"['hypoglycaemic coma', 'intrahepatic cholestasis']","[('glibenclamide', 'hypoglycaemic coma', np.float32(0.95518535)), ('glibenclamide', 'intrahepatic cholestasis', np.float32(0.92108315))]"
['ethambutol'],['visual loss'],"[('ethambutol', 'visual loss', np.float32(0.83657473))]"
['gemcitabine'],['thrombotic microangiopathy'],"[('gemcitabine', 'thrombotic microangiopathy', np.float32(0.8883564))]"
[],[],"[(None, None, None)]"
['tacrolimus'],[],"[(None, None, None)]"
['diphenylhydantoin'],['gingival hyperplasia'],"[('diphenylhydantoin', 'gingival hyperplasia', np.float32(0.9593354))]"
['trazodone hydrochloride'],[],"[(None, None, None)]"
[],"['acute kidney injury', 'hypersensitivity syndrome']","[(None, None, None)]"
[],['insomnia'],"[(None, None, None)]"
"['clarithromycin', 'carbamazepine']",[],"[(None, None, None)]"
['cytosine arabinoside'],['demyelinating peripheral neuropathy'],"[('cytosine arabinoside', 'demyelinating peripheral neuropathy', np.float32(0.68344396))]"
['gemcitabine'],['hus'],"[('gemcitabine', 'hus', np.float32(0.94996005))]"
['heparin'],[],"[(None, None, None)]"
['infliximab'],[],"[(None, None, None)]"
"['amiodarone', 'quinidine']",['torsade de pointes'],"[('amiodarone', 'torsade de pointes', np.float32(0.59722716)), ('quinidine', 'torsade de pointes', np.float32(0.7910517))]"
['isoniazid'],['pellagra symptoms'],"[('isoniazid', 'pellagra symptoms', np.float32(0.80710655))]"
['ofloxacin'],['toxic epidermal necrolysis'],"[('ofloxacin', 'toxic epidermal necrolysis', np.float32(0.8340422))]"
['insulin'],['hypoalbuminaemia'],"[('insulin', 'hypoalbuminaemia', np.float32(0.8655469))]"
[],['generalized exanthem'],"[(None, None, None)]"
['vasopressin'],['impaired tissue perfusion'],"[('vasopressin', 'impaired tissue perfusion', np.float32(0.94391423))]"
['olanzapine'],"['agranulocytosis', 'leukopenia']","[('olanzapine', 'agranulocytosis', np.float32(0.7683917)), ('olanzapine', 'leukopenia', np.float32(0.6318187))]"
[],['digestive hemorrhage'],"[(None, None, None)]"
['cibenzoline'],[],"[(None, None, None)]"
"['avastin', 'bevacizumab']","['ocular ischemic syndrome', 'acute vision loss']","[('avastin', 'ocular ischemic syndrome', np.float32(0.83166146)), ('avastin', 'acute vision loss', np.float32(0.88694465)), ('bevacizumab', 'ocular ischemic syndrome', np.float32(0.7956049)), ('bevacizumab', 'acute vision loss', np.float32(0.85626906))]"
[],['valproic acid intoxication'],"[(None, None, None)]"
['lamotrigine'],['stuporous'],"[('lamotrigine', 'stuporous', np.float32(0.7897841))]"
"['sodium bicarbonate', 'formic acid']",['metabolic acidosis'],"[('sodium bicarbonate', 'metabolic acidosis', np.float32(0.6637339)), ('formic acid', 'metabolic acidosis', np.float32(0.58207864))]"
['gemcitabine'],['thrombotic microangiopathy'],"[('gemcitabine', 'thrombotic microangiopathy', np.float32(0.8883564))]"
[],[],"[(None, None, None)]"
['propranolol'],['photosensitivity'],"[('propranolol', 'photosensitivity', np.float32(0.8188103))]"
['quetiapine'],[],"[(None, None, None)]"
[],['adr'],"[(None, None, None)]"
['ethambutol'],[],"[(None, None, None)]"
[],[],"[(None, None, None)]"
['cisplatin'],['fever'],"[('cisplatin', 'fever', np.float32(0.58074087))]"
['ampicillin'],['infectious mononucleosis'],"[('ampicillin', 'infectious mononucleosis', np.float32(0.82071435))]"
['flumazenil'],['coma'],"[('flumazenil', 'coma', np.float32(0.9335795))]"
[],['pancytopenia'],"[(None, None, None)]"
['bcnu'],['fatal pulmonary fibrosis'],"[('bcnu', 'fatal pulmonary fibrosis', np.float32(0.8189245))]"
['cyclophosphamide'],['leiomyosarcoma'],"[('cyclophosphamide', 'leiomyosarcoma', np.float32(0.9159466))]"
['cyclosporine'],['nephrotoxicity'],"[('cyclosporine', 'nephrotoxicity', np.float32(0.92032725))]"
[],['retroperitoneal fibrosis'],"[(None, None, None)]"
['cyclophosphamide'],['alopecia'],"[('cyclophosphamide', 'alopecia', np.float32(0.799003))]"
['methotrexate'],['interstitial fibrosis'],"[('methotrexate', 'interstitial fibrosis', np.float32(0.6471799))]"
['pentazocine'],[],"[(None, None, None)]"
"['ppa', 'phenylpropanolamine']",[],"[(None, None, None)]"
['amphotericin b'],['neurotoxicity'],"[('amphotericin b', 'neurotoxicity', np.float32(0.765472))]"
"['omeprazole', 'pantoprazole']",['peripheral edema'],"[('omeprazole', 'peripheral edema', np.float32(0.835143)), ('pantoprazole', 'peripheral edema', np.float32(0.8766072))]"
['garenoxacin'],[],"[(None, None, None)]"
"['gefitinib', 'erlotinib']",['acute severe hepatitis'],"[('gefitinib', 'acute severe hepatitis', np.float32(0.68180794)), ('erlotinib', 'acute severe hepatitis', np.float32(0.78896165))]"
['scopolamine'],['anisocoria'],"[('scopolamine', 'anisocoria', np.float32(0.99659157))]"
['fluoxetine'],['cardiovascular toxicity'],"[('fluoxetine', 'cardiovascular toxicity', np.float32(0.91071045))]"
['cisplatin'],['hypersensitivity reactions'],"[('cisplatin', 'hypersensitivity reactions', np.float32(0.7767349))]"
[],['vomiting'],"[(None, None, None)]"
['naproxen'],['transient hearing loss'],"[('naproxen', 'transient hearing loss', np.float32(0.9003604))]"
['desferrioxamine'],"['congestive heart failure', 'haemosiderosis']","[('desferrioxamine', 'congestive heart failure', np.float32(0.77534914)), ('desferrioxamine', 'haemosiderosis', np.float32(0.98789686))]"
"['aspirin', 'clopidogrel']",['upper gastrointestinal haemorrhage'],"[('aspirin', 'upper gastrointestinal haemorrhage', np.float32(0.9302853)), ('clopidogrel', 'upper gastrointestinal haemorrhage', np.float32(0.952697))]"
['naloxone'],[],"[(None, None, None)]"
"['amodiaquine', 'artesunate']",['acute asymptomatic hepatitis'],"[('amodiaquine', 'acute asymptomatic hepatitis', np.float32(0.7656725)), ('artesunate', 'acute asymptomatic hepatitis', np.float32(0.7551623))]"
"['oxybutynin', 'dantrolene']",['carbamazepine toxicity'],"[('oxybutynin', 'carbamazepine toxicity', np.float32(0.86520624)), ('dantrolene', 'carbamazepine toxicity', np.float32(0.85146475))]"
['rhgh'],['hypercalcemia'],"[('rhgh', 'hypercalcemia', np.float32(0.8949529))]"
['cefoxitin sodium'],[],"[(None, None, None)]"
['hydroxyurea'],['nail hyperpigmentation'],"[('hydroxyurea', 'nail hyperpigmentation', np.float32(0.9740385))]"
['methotrexate'],['brainstem herniation'],"[('methotrexate', 'brainstem herniation', np.float32(0.6909464))]"
['mtx'],[],"[(None, None, None)]"
['methotrexate'],[],"[(None, None, None)]"
['captopril'],[],"[(None, None, None)]"
"['fentanyl', 'citalopram']",[],"[(None, None, None)]"
"['methotrexate', 'cytarabine']","['balint syndrome', 'irreversible posterior leukoencephalopathy']","[('methotrexate', 'balint syndrome', np.float32(0.5759952)), ('methotrexate', 'irreversible posterior leukoencephalopathy', np.float32(0.7111679)), ('cytarabine', 'balint syndrome', np.float32(0.6607672)), ('cytarabine', 'irreversible posterior leukoencephalopathy', np.float32(0.8405167))]"
['trimethoprim-sulfamethoxazole'],[],"[(None, None, None)]"
[],['disseminated intravascular coagulation'],"[(None, None, None)]"
[],['cephalexin rash'],"[(None, None, None)]"
['pentazocine'],[],"[(None, None, None)]"
['acenocoumarol'],[],"[(None, None, None)]"
[],[],"[(None, None, None)]"
['vasopressin'],['spontaneous bacterial peritonitis'],"[('vasopressin', 'spontaneous bacterial peritonitis', np.float32(0.9179532))]"
[],[],"[(None, None, None)]"
['mtx'],[],"[(None, None, None)]"
[],['hyperammonemia'],"[(None, None, None)]"
[],['cutaneous pigmentation'],"[(None, None, None)]"
['methylphenidate'],['left ventricular dysfunction'],"[('methylphenidate', 'left ventricular dysfunction', np.float32(0.82288116))]"
['acyclovir'],[],"[(None, None, None)]"
['trimethoprim-sulfamethoxazole'],[],"[(None, None, None)]"
"['methimazole', 'antithyroid']",[],"[(None, None, None)]"
['5-fu'],[],"[(None, None, None)]"
[],"['colitis', 'cryptococcosis']","[(None, None, None)]"
['methotrexate'],['papular eruption'],"[('methotrexate', 'papular eruption', np.float32(0.7857655))]"
['methylephedrine'],['stroke'],"[('methylephedrine', 'stroke', np.float32(0.87217873))]"
['bisphosphonate'],['severe hypocalcaemia'],"[('bisphosphonate', 'severe hypocalcaemia', np.float32(0.87527686))]"
"['colchicine', 'statin']",['muscle weakness'],"[('colchicine', 'muscle weakness', np.float32(0.8243326)), ('statin', 'muscle weakness', np.float32(0.8970975))]"
['hormone'],['creutzfeldt-jakob disease'],"[('hormone', 'creutzfeldt-jakob disease', np.float32(0.5993482))]"
['trazodone'],['priapism'],"[('trazodone', 'priapism', np.float32(0.9394021))]"
['g-csf'],['neutrophilic dermatoses'],"[('g-csf', 'neutrophilic dermatoses', None)]"
['desmopressin'],['hyponatremia'],"[('desmopressin', 'hyponatremia', np.float32(0.9143918))]"
[],['psychosis'],"[(None, None, None)]"
['ampicillin'],['exfoliative dermatitis'],"[('ampicillin', 'exfoliative dermatitis', np.float32(0.9175302))]"
"['carboplatin', 'paclitaxel']",['fatal lung fibrosis'],"[('carboplatin', 'fatal lung fibrosis', np.float32(0.880941)), ('paclitaxel', 'fatal lung fibrosis', np.float32(0.84202045))]"
"['cephalosporin', 'moxalactam']",['coagulopathy'],"[('cephalosporin', 'coagulopathy', np.float32(0.9854869)), ('moxalactam', 'coagulopathy', np.float32(0.9758671))]"
[],['focal myositis'],"[(None, None, None)]"
[],['pulmonary gold toxicity'],"[(None, None, None)]"
['calcium hopantenate'],['acute encephalopathy'],"[('calcium hopantenate', 'acute encephalopathy', np.float32(0.76529086))]"
['ritonavir'],['carbamazepine toxicity'],"[('ritonavir', 'carbamazepine toxicity', np.float32(0.8471268))]"
['fenclofenac'],['iga deficiency'],"[('fenclofenac', 'iga deficiency', np.float32(0.92503273))]"
"['simvastatin', 'colchicine']",[],"[(None, None, None)]"
['linezolid'],[],"[(None, None, None)]"
['interferon-beta'],['liver injury'],"[('interferon-beta', 'liver injury', None)]"
['mizoribin'],['siadh'],"[('mizoribin', 'siadh', np.float32(0.91537714))]"
"['doxorubicin', 'adriamycin']",['adriamycin toxicity'],"[('doxorubicin', 'adriamycin toxicity', np.float32(0.8572742)), ('adriamycin', 'adriamycin toxicity', np.float32(0.8537892))]"
"['carbamazepine', 'sodium valproate']",['psoriasiform eruption'],"[('carbamazepine', 'psoriasiform eruption', np.float32(0.75472456)), ('sodium valproate', 'psoriasiform eruption', np.float32(0.917103))]"
['phenolphthalein'],['ten'],"[('phenolphthalein', 'ten', np.float32(0.8785337))]"
['aripiprazole'],[],"[(None, None, None)]"
['ofloxacin'],['seizures'],"[('ofloxacin', 'seizures', np.float32(0.8884473))]"
['sunitinib'],['male gynaecomastia'],"[('sunitinib', 'male gynaecomastia', np.float32(0.7836115))]"
['cap-xrt'],[],"[(None, None, None)]"
['bleomycin'],['acral necrosis'],"[('bleomycin', 'acral necrosis', np.float32(0.83039325))]"
['methylphenidate'],['peripheral vasculopathy'],"[('methylphenidate', 'peripheral vasculopathy', np.float32(0.79161286))]"
['phenobarbital'],['anticonvulsant hypersensitivity syndrome'],"[('phenobarbital', 'anticonvulsant hypersensitivity syndrome', np.float32(0.82316196))]"
"['glatiramer acetate', 'copaxone']",['localized panniculitis'],"[('glatiramer acetate', 'localized panniculitis', np.float32(0.95940924)), ('copaxone', 'localized panniculitis', np.float32(0.9621037))]"
['mirtazapine'],['ss'],"[('mirtazapine', 'ss', np.float32(0.94994473))]"
['amphotericin b'],[],"[(None, None, None)]"
[],['pharyngeal burns'],"[(None, None, None)]"
['alendronate'],['scleritis'],"[('alendronate', 'scleritis', np.float32(0.9435298))]"
['minocycline'],[],"[(None, None, None)]"
['cbz'],[],"[(None, None, None)]"
"['methotrexate', 'etretinate']",['toxic hepatitis'],"[('methotrexate', 'toxic hepatitis', np.float32(0.5451918)), ('etretinate', 'toxic hepatitis', np.float32(0.7418846))]"
"['etanercept', 'insulin']",['hypoglycemia'],"[('etanercept', 'hypoglycemia', np.float32(0.8261307)), ('insulin', 'hypoglycemia', np.float32(0.90015125))]"
['razoxane'],[],"[(None, None, None)]"
"['etanercept', 'efalizumab']",['tuberculosis'],"[('etanercept', 'tuberculosis', np.float32(0.9432994)), ('efalizumab', 'tuberculosis', np.float32(0.92137146))]"
"['carbamazepine', 'cbz']",[],"[(None, None, None)]"
['alum'],['acute aluminum toxicity'],"[('alum', 'acute aluminum toxicity', np.float32(0.81702614))]"
['sodium phenylbutyrate'],[],"[(None, None, None)]"
['tacrolimus'],['severe hepatocellular necrosis'],"[('tacrolimus', 'severe hepatocellular necrosis', np.float32(0.8772275))]"
"['oxpentifylline', 'tuberculin']",[],"[(None, None, None)]"
['isoniazid'],['bilateral gynaecomastia'],"[('isoniazid', 'bilateral gynaecomastia', np.float32(0.9125789))]"
['vancomycin'],['neurologic symptoms'],"[('vancomycin', 'neurologic symptoms', np.float32(0.73065317))]"
['olanzapine'],[],"[(None, None, None)]"
"['methimazole', 'antithyroid']",[],"[(None, None, None)]"
['antacid'],['hypophosphatemic osteomalacia'],"[('antacid', 'hypophosphatemic osteomalacia', np.float32(0.94409215))]"
['sasp'],[],"[(None, None, None)]"
['5-fluorouracil'],['oculomotor disturbances'],"[('5-fluorouracil', 'oculomotor disturbances', None)]"
['heparin'],['skin necrosis'],"[('heparin', 'skin necrosis', np.float32(0.78406))]"
['mmc'],['hus'],"[('mmc', 'hus', np.float32(0.94211704))]"
['nevirapine'],['fulminant hepatitis'],"[('nevirapine', 'fulminant hepatitis', np.float32(0.79077077))]"
['zolmitriptan'],['spinal cord infarction'],"[('zolmitriptan', 'spinal cord infarction', np.float32(0.9563768))]"
['lenalidomide'],['severe aplastic anemia'],"[('lenalidomide', 'severe aplastic anemia', np.float32(0.8892668))]"
['itraconazole'],"['cholangiopathy', 'ductopenia']","[('itraconazole', 'cholangiopathy', np.float32(0.90775436)), ('itraconazole', 'ductopenia', np.float32(0.8701725))]"
['azathioprine'],"['myelosuppression', 'thiopurine methyltransferase deficiency']","[('azathioprine', 'myelosuppression', np.float32(0.7611927)), ('azathioprine', 'thiopurine methyltransferase deficiency', np.float32(0.92505))]"
['lithium'],[],"[(None, None, None)]"
['ciprofloxacin'],['hemorrhagic vasculitis'],"[('ciprofloxacin', 'hemorrhagic vasculitis', np.float32(0.94117826))]"
['foscarnet'],[],"[(None, None, None)]"
[],"['death', 'impaired drug metabolism']","[(None, None, None)]"
"['clozapine', 'clomipramine']",['serotonin syndrome'],"[('clozapine', 'serotonin syndrome', np.float32(0.36216435)), ('clomipramine', 'serotonin syndrome', np.float32(0.4240748))]"
['flumazenil'],['sedation'],"[('flumazenil', 'sedation', np.float32(0.99287707))]"
['methotrexate'],"['reversible hepatic insufficiency', 'hepatitis']","[('methotrexate', 'reversible hepatic insufficiency', np.float32(0.66429275)), ('methotrexate', 'hepatitis', np.float32(0.45415595))]"
['quetiapine'],['ocs'],"[('quetiapine', 'ocs', np.float32(0.9471713))]"
['warfarin'],['hypersensitivity'],"[('warfarin', 'hypersensitivity', np.float32(0.6432012))]"
"['ribavirin', 'interferon-alfa']",['diabetes mellitus'],"[('ribavirin', 'diabetes mellitus', np.float32(0.7832376)), ('interferon-alfa', 'diabetes mellitus', None)]"
['paracetamol'],['hepatotoxicity'],"[('paracetamol', 'hepatotoxicity', np.float32(0.8897557))]"
['calcium hopantenate'],['fatal acute encephalopathy'],"[('calcium hopantenate', 'fatal acute encephalopathy', np.float32(0.7820236))]"
['haloperidol'],['nms'],"[('haloperidol', 'nms', np.float32(0.917461))]"
['calcium hydroxylapatite'],['urethral prolapse'],"[('calcium hydroxylapatite', 'urethral prolapse', np.float32(0.97564626))]"
"['omeprazole', 'pantoprazole']",['pheripheral edema'],"[('omeprazole', 'pheripheral edema', np.float32(0.91310114)), ('pantoprazole', 'pheripheral edema', np.float32(0.9552037))]"
['tmp-smx'],"['liver toxicity', 'acute liver toxicity']","[('tmp-smx', 'liver toxicity', None), ('tmp-smx', 'acute liver toxicity', None)]"
['cyclophosphamide'],['neutrophilic eccrine hidradenitis'],"[('cyclophosphamide', 'neutrophilic eccrine hidradenitis', np.float32(0.88956255))]"
['amiodarone'],['torsades de pointe'],"[('amiodarone', 'torsades de pointe', np.float32(0.69410294))]"
['pegvisomant'],['hepatic enzyme disturbances'],"[('pegvisomant', 'hepatic enzyme disturbances', np.float32(0.94675195))]"
['5-fluorouracil'],['neurotoxicity'],"[('5-fluorouracil', 'neurotoxicity', None)]"
"['interferon-alpha', 'levodopa']","['refractory akathisia', 'neurotoxicity']","[('interferon-alpha', 'refractory akathisia', None), ('interferon-alpha', 'neurotoxicity', None), ('levodopa', 'refractory akathisia', np.float32(0.83529645)), ('levodopa', 'neurotoxicity', np.float32(0.77199316))]"
"['melphalan', 'busulfan']",['interstitial lung fibrosis'],"[('melphalan', 'interstitial lung fibrosis', np.float32(0.77046776)), ('busulfan', 'interstitial lung fibrosis', np.float32(0.73588777))]"
['warfarin'],['haematoma'],"[('warfarin', 'haematoma', np.float32(0.9380855))]"
['ifosfamide'],['nonconvulsive status epilepticus'],"[('ifosfamide', 'nonconvulsive status epilepticus', np.float32(0.9424894))]"
[],"['nms', 'ss']","[(None, None, None)]"
['risperidone'],['td'],"[('risperidone', 'td', np.float32(0.8916414))]"
"['diphenylhydantoin', 'dilantin']",['multiple myeloma'],"[('diphenylhydantoin', 'multiple myeloma', np.float32(0.9250938)), ('dilantin', 'multiple myeloma', np.float32(0.9002856))]"
"['isotretinoin', 'accutane']",['acute myopia'],"[('isotretinoin', 'acute myopia', np.float32(0.8449951)), ('accutane', 'acute myopia', np.float32(0.81263214))]"
[],['acute pancreatitis'],"[(None, None, None)]"
['clozapine'],['tardive oculogyric crisis'],"[('clozapine', 'tardive oculogyric crisis', np.float32(0.7829241))]"
['ofloxacin'],['seizures'],"[('ofloxacin', 'seizures', np.float32(0.8884473))]"
['diphenhydramine'],[],"[(None, None, None)]"
['salsalate'],['eruption'],"[('salsalate', 'eruption', np.float32(0.8799585))]"
['metformin'],['severe acidosis'],"[('metformin', 'severe acidosis', np.float32(0.769457))]"
"['interferon alfa', 'pentostatin']",['thrombocythemia'],"[('interferon alfa', 'thrombocythemia', np.float32(0.7501701)), ('pentostatin', 'thrombocythemia', np.float32(0.980487))]"
"['ara-c', 'cytosine arabinoside']",['toxic epidermal necrolysis'],"[('ara-c', 'toxic epidermal necrolysis', None), ('cytosine arabinoside', 'toxic epidermal necrolysis', np.float32(0.6062006))]"
['sr'],"['pulmonary infiltrate', 'pneumonitis']","[('sr', 'pulmonary infiltrate', np.float32(0.6339822)), ('sr', 'pneumonitis', np.float32(0.49826276))]"
['rituximab'],"['bronchiolitis obliterans', 'pneumonia']","[('rituximab', 'bronchiolitis obliterans', np.float32(0.915085)), ('rituximab', 'pneumonia', np.float32(0.5756533))]"
['linezolid'],['sideroblastic anemia'],"[('linezolid', 'sideroblastic anemia', np.float32(0.88996494))]"
['cbz'],[],"[(None, None, None)]"
[],['adrenal insufficiency'],"[(None, None, None)]"
"['oxybutynin', 'dantrolene']",['carbamazepine intoxication'],"[('oxybutynin', 'carbamazepine intoxication', np.float32(0.9258536)), ('dantrolene', 'carbamazepine intoxication', np.float32(0.91186625))]"
['mirtazapine'],['symptomatic hyponatremia'],"[('mirtazapine', 'symptomatic hyponatremia', np.float32(0.957338))]"
['nicotinic acid'],[],"[(None, None, None)]"
"['protamine', 'ketanserin']",['right ventricular failure'],"[('protamine', 'right ventricular failure', np.float32(0.8172232)), ('ketanserin', 'right ventricular failure', np.float32(0.86219054))]"
['heparin'],['thrombocytopenia'],"[('heparin', 'thrombocytopenia', np.float32(0.9393144))]"
"['actinomycin-d', 'adriamycin', 'mithramycin']",['cardiomyopathy'],"[('actinomycin-d', 'cardiomyopathy', None), ('adriamycin', 'cardiomyopathy', np.float32(0.9298758)), ('mithramycin', 'cardiomyopathy', np.float32(0.88040406))]"
"['ciprofloxacin', 'piperacillin']",[],"[(None, None, None)]"
['mmc'],[],"[(None, None, None)]"
['tamoxifen'],[],"[(None, None, None)]"
['glibenclamide'],['pemphigus vulgaris'],"[('glibenclamide', 'pemphigus vulgaris', np.float32(0.9679829))]"
[],"['neurotoxicity', 'amebic abscess of the spleen']","[(None, None, None)]"
['valproic'],['seizure exacerbation'],"[('valproic', 'seizure exacerbation', np.float32(0.7284493))]"
['aripiprazole'],[],"[(None, None, None)]"
['amiodarone hcl'],[],"[(None, None, None)]"
['g-csf'],['systemic capillary leak syndrome'],"[('g-csf', 'systemic capillary leak syndrome', None)]"
['5-fu'],[],"[(None, None, None)]"
['acyclovir'],['serum lithium level'],"[('acyclovir', 'serum lithium level', np.float32(0.8599306))]"
['fluvoxamine'],['first-rank symptoms'],"[('fluvoxamine', 'first-rank symptoms', np.float32(0.5969329))]"
['beta-1b'],['nephrotic syndrome'],"[('beta-1b', 'nephrotic syndrome', np.float32(0.70826286))]"
['ciprofloxacin'],[],"[(None, None, None)]"
[],['excitatory toxicities'],"[(None, None, None)]"
[],['severe c. difficile colitis'],"[(None, None, None)]"
['dexamethasone'],['infectious toxicity'],"[('dexamethasone', 'infectious toxicity', np.float32(0.84976816))]"
[],[],"[(None, None, None)]"
"['amphotericin b', '5-fluorocytosine']",['toxic epidermal necrolysis'],"[('amphotericin b', 'toxic epidermal necrolysis', np.float32(0.69286096)), ('5-fluorocytosine', 'toxic epidermal necrolysis', None)]"
['adenosine'],[],"[(None, None, None)]"
['miacalcic'],['anaphylactic reaction'],"[('miacalcic', 'anaphylactic reaction', np.float32(0.7792736))]"
['penicillamine'],['thrombotic thrombocytopenic purpura'],"[('penicillamine', 'thrombotic thrombocytopenic purpura', np.float32(0.8942079))]"
['tamoxifen'],"['endometriosis', 'ovarian endometrioid carcinoma']","[('tamoxifen', 'endometriosis', np.float32(0.86957616)), ('tamoxifen', 'ovarian endometrioid carcinoma', np.float32(0.8411449))]"
['carbamazepine'],[],"[(None, None, None)]"
[],['focal myositis'],"[(None, None, None)]"
['methotrexate'],['pneumonitis'],"[('methotrexate', 'pneumonitis', np.float32(0.707573))]"
[],['acute renal failure'],"[(None, None, None)]"
['olanzapine'],[],"[(None, None, None)]"
