text,drug,effect,indexes
anaphylactic reaction to bacitracin ointment,bacitracin,anaphylactic reaction,"{'drug': {'start_char': array([25], dtype=int32), 'end_char': array([35], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([21], dtype=int32)}}"
two patients treated with 5-fluorouracil (5-fu) for disseminated adenocarcinoma of the colon developed cerebellar dysfunction typical of 5-fu neurotoxicity,5-fu,neurotoxicity,"{'drug': {'start_char': array([ 42, 137], dtype=int32), 'end_char': array([ 46, 141], dtype=int32)}, 'effect': {'start_char': array([142], dtype=int32), 'end_char': array([155], dtype=int32)}}"
systemic lupus erythematosus during penicillamine therapy for rheumatoid arthritis,penicillamine,systemic lupus erythematosus,"{'drug': {'start_char': array([36], dtype=int32), 'end_char': array([49], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([28], dtype=int32)}}"
antithyroid treatment with propylthiouracil (ptu) resulted in elevated hepatic enzymes and after the 12th week of pregnancy treatment was changed to carbimazole (cbz,propylthiouracil,elevated hepatic enzymes,"{'drug': {'start_char': array([27], dtype=int32), 'end_char': array([43], dtype=int32)}, 'effect': {'start_char': array([62], dtype=int32), 'end_char': array([86], dtype=int32)}}"
a patient with disseminated herpes zoster developed a syndrome of inappropriate antidiuretic hormone and profound hyponatremia secondary to the administration of adenine arabinoside,adenine arabinoside,hyponatremia,"{'drug': {'start_char': array([162], dtype=int32), 'end_char': array([181], dtype=int32)}, 'effect': {'start_char': array([114], dtype=int32), 'end_char': array([126], dtype=int32)}}"
"purpose: the case of a patient who developed aseptic meningitis, hemolytic anemia, hepatitis, and orthostatic hypotension simultaneously during treatment with trimethoprim-sulfamethoxazole is described",trimethoprim,hepatitis,"{'drug': {'start_char': array([159], dtype=int32), 'end_char': array([171], dtype=int32)}, 'effect': {'start_char': array([83], dtype=int32), 'end_char': array([92], dtype=int32)}}"
objective: to describe a patient with ifosfamide-induced nonconvulsive status epilepticus,ifosfamide,nonconvulsive status epilepticus,"{'drug': {'start_char': array([38], dtype=int32), 'end_char': array([48], dtype=int32)}, 'effect': {'start_char': array([57], dtype=int32), 'end_char': array([89], dtype=int32)}}"
the development of systemic lupus erythematosus (sle) after 38 months of therapy with recombinant human interferon gamma (rifn-gamma) was observed in a patient with rheumatoid arthritis,recombinant human interferon gamma,systemic lupus erythematosus,"{'drug': {'start_char': array([86], dtype=int32), 'end_char': array([120], dtype=int32)}, 'effect': {'start_char': array([19], dtype=int32), 'end_char': array([47], dtype=int32)}}"
a major limitation in the use of amphotericin b is its potential to cause nephrotoxicity,amphotericin b,nephrotoxicity,"{'drug': {'start_char': array([33], dtype=int32), 'end_char': array([47], dtype=int32)}, 'effect': {'start_char': array([74], dtype=int32), 'end_char': array([88], dtype=int32)}}"
trimethoprim-sulfamethoxazole-induced aseptic meningitis,trimethoprim-sulfamethoxazole,aseptic meningitis,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([29], dtype=int32)}, 'effect': {'start_char': array([38], dtype=int32), 'end_char': array([56], dtype=int32)}}"
we report on a patient who developed acute rhabdomyolysis after taking cerivastatin,cerivastatin,acute rhabdomyolysis,"{'drug': {'start_char': array([71], dtype=int32), 'end_char': array([83], dtype=int32)}, 'effect': {'start_char': array([37], dtype=int32), 'end_char': array([57], dtype=int32)}}"
"this patient developed sequential symptoms including alternative hemiparesis, dysarthria and altered consciousness 5 days after the second course of hd-mtx (8 gm/m2 by 6 h continuous infusion) with leucovorin rescue",hd-mtx,dysarthria,"{'drug': {'start_char': array([149], dtype=int32), 'end_char': array([155], dtype=int32)}, 'effect': {'start_char': array([78], dtype=int32), 'end_char': array([88], dtype=int32)}}"
"conclusion: the new quinolone derivatives (levofloxacin, sparfloxacin, grepafloxacin, trovafloxacin, gatifloxacin and moxifloxacin), also called gyrase inhibitors, are known for their potential to cause central nervous system-related adverse effects, including headache, dizziness and insomnia",sparfloxacin,insomnia,"{'drug': {'start_char': array([57], dtype=int32), 'end_char': array([69], dtype=int32)}, 'effect': {'start_char': array([285], dtype=int32), 'end_char': array([293], dtype=int32)}}"
study design: case reports are presented of three premature infants (mean gestational age 27 weeks) cared for in the intensive care nursery in whom clinically significant septal hypertrophy and left ventricular outflow tract obstruction developed during dexamethasone treatment for bronchopulmonary dysplasia,dexamethasone,septal hypertrophy,"{'drug': {'start_char': array([254], dtype=int32), 'end_char': array([267], dtype=int32)}, 'effect': {'start_char': array([171], dtype=int32), 'end_char': array([189], dtype=int32)}}"
scleromyxedema in a patient with multiple sclerosis and monoclonal gammopathy on interferon beta-1a,interferon beta-1a,scleromyxedema,"{'drug': {'start_char': array([81], dtype=int32), 'end_char': array([99], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([14], dtype=int32)}}"
acute pulmonary reactions to nitrofurantoin are an uncommon side effect of therapy and can cause minor or life-threatening pulmonary dysfunction,nitrofurantoin,pulmonary dysfunction,"{'drug': {'start_char': array([29], dtype=int32), 'end_char': array([43], dtype=int32)}, 'effect': {'start_char': array([123], dtype=int32), 'end_char': array([144], dtype=int32)}}"
"behavioral side effects associated with clonazepam may include agitation, aggression, hyperactivity, irritability, property destruction, and temper tantrums",clonazepam,temper tantrums,"{'drug': {'start_char': array([40], dtype=int32), 'end_char': array([50], dtype=int32)}, 'effect': {'start_char': array([141], dtype=int32), 'end_char': array([156], dtype=int32)}}"
we present a case of severe unilateral posterior scleritis associated with zoledronic acid administration that was recognized and treated in a timely manner,zoledronic acid,severe unilateral posterior scleritis,"{'drug': {'start_char': array([75], dtype=int32), 'end_char': array([90], dtype=int32)}, 'effect': {'start_char': array([21], dtype=int32), 'end_char': array([58], dtype=int32)}}"
"conclusion: a 37-year-old african- american man with g6pd deficiency developed hemolytic anemia, hepatitis, orthostatic hypotension, and aseptic meningitis simultaneously after using trimethoprim-sulfamethoxazole",trimethoprim,hepatitis,"{'drug': {'start_char': array([183], dtype=int32), 'end_char': array([195], dtype=int32)}, 'effect': {'start_char': array([97], dtype=int32), 'end_char': array([106], dtype=int32)}}"
"the current study investigated the visual fields and visual electrophysiology of eight patients with known vigabatrin-attributed visual field loss, three of whom were reported previously",vigabatrin,visual field loss,"{'drug': {'start_char': array([107], dtype=int32), 'end_char': array([117], dtype=int32)}, 'effect': {'start_char': array([129], dtype=int32), 'end_char': array([146], dtype=int32)}}"
an objective causality assessment by use of the naranjo probability scale revealed that ncse due to ifosfamide was probable,ifosfamide,ncse,"{'drug': {'start_char': array([100], dtype=int32), 'end_char': array([110], dtype=int32)}, 'effect': {'start_char': array([88], dtype=int32), 'end_char': array([92], dtype=int32)}}"
this report rules out other causes of toxic epidermal necrolysis and implicates ofloxacin in what appears to be an atypical presentation of drug-induced toxic epidermal necrolysis,ofloxacin,toxic epidermal necrolysis,"{'drug': {'start_char': array([80], dtype=int32), 'end_char': array([89], dtype=int32)}, 'effect': {'start_char': array([ 38, 153], dtype=int32), 'end_char': array([ 64, 179], dtype=int32)}}"
objective: to present a single case of zuclopenthixol-induced priapism and a literature review,zuclopenthixol,priapism,"{'drug': {'start_char': array([39], dtype=int32), 'end_char': array([53], dtype=int32)}, 'effect': {'start_char': array([62], dtype=int32), 'end_char': array([70], dtype=int32)}}"
"it also highlights a current major etiologic question, that is, whether and to what degree lead exposure contributes to the development of hypertension, and raises the issue of whether lead-induced hypertension constitutes a subset of hypertension that is especially amenable to therapy with dietary calcium",lead,hypertension,"{'drug': {'start_char': array([ 91, 185], dtype=int32), 'end_char': array([ 95, 189], dtype=int32)}, 'effect': {'start_char': array([139, 198, 235], dtype=int32), 'end_char': array([151, 210, 247], dtype=int32)}}"
"an infant girl with choanal atresia, athelia, minor anomalies, and mild to moderate mental retardation was born to a woman treated for hyperthyroidism throughout pregnancy with methimazole and propranolol",methimazole,mental retardation,"{'drug': {'start_char': array([177], dtype=int32), 'end_char': array([188], dtype=int32)}, 'effect': {'start_char': array([84], dtype=int32), 'end_char': array([102], dtype=int32)}}"
"case report: soon after initiation of amiodarone hcl (200 mg/day), a 76-year-old man came to us with symptoms of visual ""shining,"" glare, color vision anomalies, and gradually decreased vision",amiodarone hcl,"visual ""shining","{'drug': {'start_char': array([38], dtype=int32), 'end_char': array([52], dtype=int32)}, 'effect': {'start_char': array([113], dtype=int32), 'end_char': array([128], dtype=int32)}}"
"the disease-modifying drugs he was taking, cyclosporin and methotrexate, were stopped, and the lymphoma resolved spontaneously without the use of chemotherapy",methotrexate,lymphoma,"{'drug': {'start_char': array([59], dtype=int32), 'end_char': array([71], dtype=int32)}, 'effect': {'start_char': array([95], dtype=int32), 'end_char': array([103], dtype=int32)}}"
"case summary: a 65-year-old patient chronically treated with the selective serotonin reuptake inhibitor (ssri) citalopram developed confusion, agitation, tachycardia, tremors, myoclonic jerks and unsteady gait, consistent with serotonin syndrome, following initiation of fentanyl, and all symptoms and signs resolved following discontinuation of fentanyl",fentanyl,confusion,"{'drug': {'start_char': array([271, 346], dtype=int32), 'end_char': array([279, 354], dtype=int32)}, 'effect': {'start_char': array([132], dtype=int32), 'end_char': array([141], dtype=int32)}}"
life-threatening hyponatremia caused by vinblastine,vinblastine,hyponatremia,"{'drug': {'start_char': array([40], dtype=int32), 'end_char': array([51], dtype=int32)}, 'effect': {'start_char': array([17], dtype=int32), 'end_char': array([29], dtype=int32)}}"
"case presentation: we report a patient with cf who developed recurrent eosinophilia and severe persistent bronchospasm following repeated administration of preservative-free tobramycin by inhalation, beginning at 16 months of age",tobramycin,severe persistent bronchospasm,"{'drug': {'start_char': array([174], dtype=int32), 'end_char': array([184], dtype=int32)}, 'effect': {'start_char': array([88], dtype=int32), 'end_char': array([118], dtype=int32)}}"
we report a case of secondary glaucoma caused by epithelial downgrowth in which filtration surgery was performed with adjunctive use of subconjunctival 5-fluorouracil,5-fluorouracil,glaucoma,"{'drug': {'start_char': array([152], dtype=int32), 'end_char': array([166], dtype=int32)}, 'effect': {'start_char': array([30], dtype=int32), 'end_char': array([38], dtype=int32)}}"
"although neurotoxicity is a frequent complication of methotrexate therapy, fatal acute neurotoxicity is extremely uncommon, especially in adults",methotrexate,neurotoxicity,"{'drug': {'start_char': array([53], dtype=int32), 'end_char': array([65], dtype=int32)}, 'effect': {'start_char': array([ 9, 87], dtype=int32), 'end_char': array([ 22, 100], dtype=int32)}}"
six patients with no previous signs or symptoms suggestive of coronary artery disease developed acute coronary ischemia/infarction shortly after cis-diamine-dichloroplatinum ii (cisplatin) -based chemotherapy,cisplatin,acute coronary ischemia,"{'drug': {'start_char': array([178], dtype=int32), 'end_char': array([187], dtype=int32)}, 'effect': {'start_char': array([96], dtype=int32), 'end_char': array([119], dtype=int32)}}"
"a 44-year-old woman is described in whom amiodarone, disopyramide, and quinidine, administered alone separately, induced atypical ventricular tachycardia (avt, torsade de pointes",quinidine,torsade de pointes,"{'drug': {'start_char': array([71], dtype=int32), 'end_char': array([80], dtype=int32)}, 'effect': {'start_char': array([160], dtype=int32), 'end_char': array([178], dtype=int32)}}"
pulmonary hemorrhage as a clinical manifestation of hemolytic-uremic syndrome associated with mitomycin c therapy,mitomycin c,pulmonary hemorrhage,"{'drug': {'start_char': array([94], dtype=int32), 'end_char': array([105], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([20], dtype=int32)}}"
"zolpidem (ambien), a relatively new nonbenzodiazepine sedative-hypnotic, was involved in the death of a 39-year-old obese male who was being treated for depression and insomnia",ambien,death,"{'drug': {'start_char': array([10], dtype=int32), 'end_char': array([16], dtype=int32)}, 'effect': {'start_char': array([93], dtype=int32), 'end_char': array([98], dtype=int32)}}"
"a 77-year-old man developed ankle, hand, and facial swelling 2 weeks after starting rosiglitazone",rosiglitazone,"ankle, hand, and facial swelling","{'drug': {'start_char': array([84], dtype=int32), 'end_char': array([97], dtype=int32)}, 'effect': {'start_char': array([28], dtype=int32), 'end_char': array([60], dtype=int32)}}"
"although this combination agent has been associated with a hypersensitivity syndrome involving cutaneous skin eruptions, pediatric cases of tmp-smx-induced hepatotoxicity are rare",tmp-smx,cutaneous skin eruptions,"{'drug': {'start_char': array([140], dtype=int32), 'end_char': array([147], dtype=int32)}, 'effect': {'start_char': array([95], dtype=int32), 'end_char': array([119], dtype=int32)}}"
spontaneous hemothorax following anticoagulation with low-molecular-weight heparin,heparin,spontaneous hemothorax,"{'drug': {'start_char': array([75], dtype=int32), 'end_char': array([82], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([22], dtype=int32)}}"
"here we describe a patient with crohn's disease who developed a severe infliximab infusion reaction (iir), complicated 1 day later by severe swelling of the forearm and hand ipsilateral to the site of infliximab infusion",infliximab,iir,"{'drug': {'start_char': array([ 71, 201], dtype=int32), 'end_char': array([ 81, 211], dtype=int32)}, 'effect': {'start_char': array([101], dtype=int32), 'end_char': array([104], dtype=int32)}}"
severe acidosis from acetazolamide in a diabetic patient,acetazolamide,severe acidosis,"{'drug': {'start_char': array([21], dtype=int32), 'end_char': array([34], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([15], dtype=int32)}}"
"ibuprofen overdose is usually characterized by gi upset, dizziness, and mild sedation",ibuprofen,dizziness,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([9], dtype=int32)}, 'effect': {'start_char': array([57], dtype=int32), 'end_char': array([66], dtype=int32)}}"
a young diamond dealer developed visual impairment attributed to bilateral posterior subcapsular cataracts following only four courses of intermittent decadron used as part of a five-drug antiemetic regimen for cisplatin-associated nausea,cisplatin,nausea,"{'drug': {'start_char': array([211], dtype=int32), 'end_char': array([220], dtype=int32)}, 'effect': {'start_char': array([232], dtype=int32), 'end_char': array([238], dtype=int32)}}"
we report a case of aild in an 80-year-old male who presented with a generalized pruritic maculopapular eruption and fever following doxycycline administration,doxycycline,fever,"{'drug': {'start_char': array([133], dtype=int32), 'end_char': array([144], dtype=int32)}, 'effect': {'start_char': array([117], dtype=int32), 'end_char': array([122], dtype=int32)}}"
in two patients clozapine was reinstated after risperidone was discontinued; serum triglyceride levels increased,clozapine,serum triglyceride levels increased,"{'drug': {'start_char': array([16], dtype=int32), 'end_char': array([25], dtype=int32)}, 'effect': {'start_char': array([77], dtype=int32), 'end_char': array([112], dtype=int32)}}"
"fatal agranulocytosis in an indian male receiving 100mg of dapsone daily, hospitalized for mid-borderline leprosy in type i reaction with triple nerve paralysis is reported",dapsone,fatal agranulocytosis,"{'drug': {'start_char': array([59], dtype=int32), 'end_char': array([66], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([21], dtype=int32)}}"
"the chemotherapeutics, including vincristine, actinomycin d, and epirubicin in case 1 and vincristine and actinomycin d in case 2, were given before the hepatotoxicity developed",vincristine,hepatotoxicity,"{'drug': {'start_char': array([33, 90], dtype=int32), 'end_char': array([ 44, 101], dtype=int32)}, 'effect': {'start_char': array([153], dtype=int32), 'end_char': array([167], dtype=int32)}}"
"thus, tacrolimus-induced hus is a rare cause of arf in nephrotic syndrome",tacrolimus,hus,"{'drug': {'start_char': array([6], dtype=int32), 'end_char': array([16], dtype=int32)}, 'effect': {'start_char': array([25], dtype=int32), 'end_char': array([28], dtype=int32)}}"
"one patient who received clindamycin had liver biopsy findings of marked cholestasis, portal inflammation, bile duct injury and bile duct paucity (ductopenia",clindamycin,ductopenia,"{'drug': {'start_char': array([25], dtype=int32), 'end_char': array([36], dtype=int32)}, 'effect': {'start_char': array([147], dtype=int32), 'end_char': array([157], dtype=int32)}}"
nitrofurantoin-induced acute liver damage in pregnancy,nitrofurantoin,acute liver damage,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([14], dtype=int32)}, 'effect': {'start_char': array([23], dtype=int32), 'end_char': array([41], dtype=int32)}}"
"after therapy for diabetic coma with insulin (containing the preservative cresol) and electrolyte solutions was started, the patient complained of increasing myalgia, developed a high fever and respiratory and metabolic acidosis and lost consciousness",cresol,high fever,"{'drug': {'start_char': array([74], dtype=int32), 'end_char': array([80], dtype=int32)}, 'effect': {'start_char': array([179], dtype=int32), 'end_char': array([189], dtype=int32)}}"
an adverse reaction to ifn was strongly suspected as the cause of chf,ifn,chf,"{'drug': {'start_char': array([23], dtype=int32), 'end_char': array([26], dtype=int32)}, 'effect': {'start_char': array([66], dtype=int32), 'end_char': array([69], dtype=int32)}}"
presentation of three palliative care patients who were given ketamine as an analgesic and subsequently developed significant and debilitating urological symptoms,ketamine,urological symptoms,"{'drug': {'start_char': array([62], dtype=int32), 'end_char': array([70], dtype=int32)}, 'effect': {'start_char': array([143], dtype=int32), 'end_char': array([162], dtype=int32)}}"
objective: to report 2 cases of nonconvulsive status epilepticus (ncse) following infusion of ifosfamide,ifosfamide,nonconvulsive status epilepticus,"{'drug': {'start_char': array([94], dtype=int32), 'end_char': array([104], dtype=int32)}, 'effect': {'start_char': array([32], dtype=int32), 'end_char': array([64], dtype=int32)}}"
painful neutrophilic skin lesions were observed in two children receiving granulocyte colony-stimulating factor (g-csf) for treatment of idiopathic neutropenia,g-csf,neutrophilic skin lesions,"{'drug': {'start_char': array([113], dtype=int32), 'end_char': array([118], dtype=int32)}, 'effect': {'start_char': array([8], dtype=int32), 'end_char': array([33], dtype=int32)}}"
"case presentation: three cases of leishmania infantum leishmaniasis in corticosteroid (cs)-treated patients are reported: an isolated lingual leishmaniasis in a farmer treated with cs for asthma, a severe visceral leishmaniasis associated with cutaneous lesions in a woman with myasthenia gravis, and a visceral involvement after cutaneous leishmaniasis in a man receiving cs",corticosteroid,lingual leishmaniasis,"{'drug': {'start_char': array([71], dtype=int32), 'end_char': array([85], dtype=int32)}, 'effect': {'start_char': array([134], dtype=int32), 'end_char': array([155], dtype=int32)}}"
"the possibility of phenytoin hypersensitivity reactions should be considered when patients receiving phenytoin have unusual symptoms, particularly fever, rash, and lymphadenopathy",phenytoin,fever,"{'drug': {'start_char': array([ 19, 101], dtype=int32), 'end_char': array([ 28, 110], dtype=int32)}, 'effect': {'start_char': array([147], dtype=int32), 'end_char': array([152], dtype=int32)}}"
objective: clozapine causes few extrapyramidal symptoms and is recommended as a treatment drug for severe tardive dyskinesia (td,clozapine,extrapyramidal symptoms,"{'drug': {'start_char': array([11], dtype=int32), 'end_char': array([20], dtype=int32)}, 'effect': {'start_char': array([32], dtype=int32), 'end_char': array([55], dtype=int32)}}"
"review of this and previously reported cases indicates the need for early diagnosis of amiodarone pneumonitis, immediate withdrawal of amiodarone, and prompt but continued steroid therapy to ensure full recovery",amiodarone,pneumonitis,"{'drug': {'start_char': array([ 87, 135], dtype=int32), 'end_char': array([ 97, 145], dtype=int32)}, 'effect': {'start_char': array([98], dtype=int32), 'end_char': array([109], dtype=int32)}}"
"we present a case of a 20-year-old woman who ingested 900 mg of glyburide causing refractory hypoglycemia resistant to treatment with intravenous dextrose, glucagon, and diazoxide",glyburide,hypoglycemia,"{'drug': {'start_char': array([64], dtype=int32), 'end_char': array([73], dtype=int32)}, 'effect': {'start_char': array([93], dtype=int32), 'end_char': array([105], dtype=int32)}}"
"the patient was positive for antibody against complexes of heparin and platelet factor 4, and was diagnosed as heparin-induced thrombocytopenia with thrombosis syndrome (hitts",heparin,thrombocytopenia,"{'drug': {'start_char': array([ 59, 111], dtype=int32), 'end_char': array([ 66, 118], dtype=int32)}, 'effect': {'start_char': array([127], dtype=int32), 'end_char': array([143], dtype=int32)}}"
"while both amiodarone and digoxin can cause permanent visual changes, the ocular effects are often reversible",amiodarone,visual changes,"{'drug': {'start_char': array([11], dtype=int32), 'end_char': array([21], dtype=int32)}, 'effect': {'start_char': array([54], dtype=int32), 'end_char': array([68], dtype=int32)}}"
"a 7-year-old boy developed a severe unilateral grand mal seizure at the age of 5 years (phenobarbitone therapy); 1.5 years later valproate (2-propylpentanoic acid, vpa) was added to the therapy",2-propylpentanoic acid,severe unilateral grand mal seizure,"{'drug': {'start_char': array([140], dtype=int32), 'end_char': array([162], dtype=int32)}, 'effect': {'start_char': array([29], dtype=int32), 'end_char': array([64], dtype=int32)}}"
we report a case of graves' hyperthyroidism induced by long-term interferon (ifn) therapy,ifn,graves' hyperthyroidism,"{'drug': {'start_char': array([77], dtype=int32), 'end_char': array([80], dtype=int32)}, 'effect': {'start_char': array([20], dtype=int32), 'end_char': array([43], dtype=int32)}}"
this eruption appears to be a distinct cutaneous toxicity of pld,pld,eruption,"{'drug': {'start_char': array([61], dtype=int32), 'end_char': array([64], dtype=int32)}, 'effect': {'start_char': array([5], dtype=int32), 'end_char': array([13], dtype=int32)}}"
reversible leukopenia was documented in an 81-year-old woman treated with adjunctive ibopamine 100 mg t.i.d. for chronic congestive heart failure,ibopamine,reversible leukopenia,"{'drug': {'start_char': array([85], dtype=int32), 'end_char': array([94], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([21], dtype=int32)}}"
interaction between tacrolimus and nefazodone in a stable renal transplant recipient,tacrolimus,interaction,"{'drug': {'start_char': array([20], dtype=int32), 'end_char': array([30], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([11], dtype=int32)}}"
"three patients, in whom tumour overkill by cytotoxic treatment, including high dose methotrexate with folinic acid rescue, resulted in the 'phosphate shower syndrome' (hyper-uricaemia, hyperkalaemia and hyperphosphataemia with hypocalcaemia and tetany, with metabolic acidosis and acute renal impairment) are described",methotrexate,tetany,"{'drug': {'start_char': array([84], dtype=int32), 'end_char': array([96], dtype=int32)}, 'effect': {'start_char': array([245], dtype=int32), 'end_char': array([251], dtype=int32)}}"
cutaneous seeding after ultrasound-guided percutaneous ethanol injection for treatment of hepatocellular carcinoma,ethanol injection,cutaneous seeding,"{'drug': {'start_char': array([55], dtype=int32), 'end_char': array([72], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([17], dtype=int32)}}"
seizures and transient blindness following intravenous pulse methylprednisolone in children with primary glomerulonephritis,methylprednisolone,transient blindness,"{'drug': {'start_char': array([61], dtype=int32), 'end_char': array([79], dtype=int32)}, 'effect': {'start_char': array([13], dtype=int32), 'end_char': array([32], dtype=int32)}}"
"musculoskeletal complaints were the presenting symptoms in four of 44 children (9%) treated for relapsed wilms' tumors with ifosfamide, a derivative of cyclophosphamide",ifosfamide,musculoskeletal complaints,"{'drug': {'start_char': array([124], dtype=int32), 'end_char': array([134], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([26], dtype=int32)}}"
adenosine-induced ventricular fibrillation,adenosine,ventricular fibrillation,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([9], dtype=int32)}, 'effect': {'start_char': array([18], dtype=int32), 'end_char': array([42], dtype=int32)}}"
"we present two cases of nitrofurantoin-induced pulmonary toxicity in which the initial hrct showed a widespread reticular pattern and associated distortion of the lung parenchyma, thought to represent established fibrosis",nitrofurantoin,widespread reticular pattern,"{'drug': {'start_char': array([24], dtype=int32), 'end_char': array([38], dtype=int32)}, 'effect': {'start_char': array([101], dtype=int32), 'end_char': array([129], dtype=int32)}}"
most cardiac surgical patients have had previous exposure to heparin for diagnostic or therapeutic interventions and hence have an increased susceptibility to developing heparin-induced thrombocytopenia (hit) postoperatively,heparin,thrombocytopenia,"{'drug': {'start_char': array([ 61, 170], dtype=int32), 'end_char': array([ 68, 177], dtype=int32)}, 'effect': {'start_char': array([186], dtype=int32), 'end_char': array([202], dtype=int32)}}"
insulin-dependent diabetes mellitus developed in a young woman 8 weeks after the initiation of danazol for treatment of pelvic endometriosis,danazol,insulin-dependent diabetes mellitus,"{'drug': {'start_char': array([95], dtype=int32), 'end_char': array([102], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([35], dtype=int32)}}"
ibopamine-induced reversible leukopenia during treatment for congestive heart failure,ibopamine,leukopenia,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([9], dtype=int32)}, 'effect': {'start_char': array([29], dtype=int32), 'end_char': array([39], dtype=int32)}}"
"potential causes of methamphetamine-related keratitis can be divided into four categories resulting from (a) direct pharmacologic and physical effects of methamphetamine; (b) the toxic effects of diluting or ""cutting"" agents such as lidocaine and quinine; (c) effects related to the route of drug administration (intravenous, inhalation, smoking); and (d) manufacture-related effects of exposure to unintentional caustic contaminants in the final product",quinine,toxic effects,"{'drug': {'start_char': array([247], dtype=int32), 'end_char': array([254], dtype=int32)}, 'effect': {'start_char': array([179], dtype=int32), 'end_char': array([192], dtype=int32)}}"
he had also developed elevated serum ammonia levels while on valproic acid,valproic acid,elevated serum ammonia levels,"{'drug': {'start_char': array([61], dtype=int32), 'end_char': array([74], dtype=int32)}, 'effect': {'start_char': array([22], dtype=int32), 'end_char': array([51], dtype=int32)}}"
primary cutaneous coccidioidomycosis and subsequent drug eruption to itraconazole in a dog,itraconazole,drug eruption,"{'drug': {'start_char': array([69], dtype=int32), 'end_char': array([81], dtype=int32)}, 'effect': {'start_char': array([52], dtype=int32), 'end_char': array([65], dtype=int32)}}"
observations: a 48-year-old woman presented with disfiguring facial edema 10 weeks after she began antiviral therapy with peginterferon alfa-2a and ribavirin for chronic hepatitis c infection,peginterferon alfa-2a,disfiguring facial edema,"{'drug': {'start_char': array([122], dtype=int32), 'end_char': array([143], dtype=int32)}, 'effect': {'start_char': array([49], dtype=int32), 'end_char': array([73], dtype=int32)}}"
following 7 days of tigecycline she developed severe abdominal pain and elevated pancreatic enzymes suggesting acute pancreatitis,tigecycline,acute pancreatitis,"{'drug': {'start_char': array([20], dtype=int32), 'end_char': array([31], dtype=int32)}, 'effect': {'start_char': array([111], dtype=int32), 'end_char': array([129], dtype=int32)}}"
additive pulmonary toxicity with melphalan and busulfan therapy,busulfan,additive pulmonary toxicity,"{'drug': {'start_char': array([47], dtype=int32), 'end_char': array([55], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([27], dtype=int32)}}"
"the cases are important in documenting that drug-induced dystonias do occur in patients with dementia, that risperidone appears to have contributed to dystonia among elderly patients, and that the categorization of dystonic reactions needs further clarification",risperidone,dystonia,"{'drug': {'start_char': array([108], dtype=int32), 'end_char': array([119], dtype=int32)}, 'effect': {'start_char': array([ 57, 151], dtype=int32), 'end_char': array([ 65, 159], dtype=int32)}}"
"discussion: to our knowledge, this is the first case report illustrating neuralgic amyotrophy triggered by exposure to the antibiotics vancomycin, tobramycin, and piperacillin/tazobactam",tobramycin,neuralgic amyotrophy,"{'drug': {'start_char': array([147], dtype=int32), 'end_char': array([157], dtype=int32)}, 'effect': {'start_char': array([73], dtype=int32), 'end_char': array([93], dtype=int32)}}"
"the administration of ""sweet spirits of nitre"" (4% ethyl nitrite ch3ch2ono in 70% ethyl alcohol) was followed by acute methemoglobinemia and severe anoxic metabolic acidosis in infant twins, methylene blue administration reversed methemoglobinemia in both, but one twin died from the consequences of hypoxemia",4% ethyl nitrite ch3ch2ono in 70% ethyl alcohol,severe anoxic metabolic acidosis,"{'drug': {'start_char': array([48], dtype=int32), 'end_char': array([95], dtype=int32)}, 'effect': {'start_char': array([141], dtype=int32), 'end_char': array([173], dtype=int32)}}"
linezolid-associated acute interstitial nephritis and drug rash with eosinophilia and systemic symptoms (dress) syndrome,linezolid,dress,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([9], dtype=int32)}, 'effect': {'start_char': array([105], dtype=int32), 'end_char': array([110], dtype=int32)}}"
"conclusion: the new quinolone derivatives (levofloxacin, sparfloxacin, grepafloxacin, trovafloxacin, gatifloxacin and moxifloxacin), also called gyrase inhibitors, are known for their potential to cause central nervous system-related adverse effects, including headache, dizziness and insomnia",sparfloxacin,headache,"{'drug': {'start_char': array([57], dtype=int32), 'end_char': array([69], dtype=int32)}, 'effect': {'start_char': array([261], dtype=int32), 'end_char': array([269], dtype=int32)}}"
